side_in_poke_index,side_in_time,center_in_poke_index,center_in_time,chose_left,chose_right,left_reward_prob,right_reward_prob,was_rewarded,word_l1,word_l1_generic,word_l2,word_l2_generic,word_l3,word_l3_generic,switched,1_Reward,1_Choice,1_Switch,2_Reward,2_Choice,2_Switch,3_Reward,3_Choice,3_Switch,reward_seq_3,choice_seq_3,choice_seq_3_letters,switch_seq_3,Q_left,Q_right,Q_diff,Rolling_Accuracy,Rolling_PRight,Expected_PRight,Signed_Deviation,Choice_Deviation,Rolling_Switch_Rate,Behavioral_State,matched_side_in_index,matched_center_in_index,photometry_center_in_index,photometry_center_out_index,photometry_side_in_index,photometry_side_out_index,has_all_photometry_data,photometry_outcome_index,center_in_s,center_out_s,side_in_s,side_out_s,peak_z_center_in,auc_center_in,peak_z_side_in,auc_side_in,peak_z_outcome,auc_outcome,peak_z_side_out,auc_side_out,mouse,date,hemisphere,condition,dob,treatment,viral_expression,age_days
50,70.60699984431267,49,70.31400203704834,True,False,0.9,0.1,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999999671596622,0.10659305465524321,-0.8934069125044191,1.0,0.0,0.1,-0.1,0.1,0.0,Exploitation,1184,1179,1179,1179,1184,1226,True,1184,63.666,63.666,63.936,66.204,4.311168906510069,2.1497569206987968,2.3228874607190115,0.29450028612978946,2.3228874607190115,0.29450028612978946,4.25355953301721,2.9854715066560784,WCL30,081423,green_l,DCZ,2023-02-28,,,167
52,73.54900762438774,51,73.24000708758831,True,False,0.09999999999999998,0.9,True,L,A,LL,AA,LLL,AAA,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999999929988962,0.10659305465524321,-0.8934069383436529,1.0,0.0,0.9,-0.9,0.9,0.0,Left Bias,1239,1233,1233,1234,1239,1279,True,1239,66.582,66.636,66.906,69.066,8.348071586108574,4.990506325164823,3.0289635592473565,0.9998731692351625,3.0289635592473565,0.9998731692351625,6.940120639836172,4.70964133803607,WCL30,081423,green_l,DCZ,2023-02-28,,,167
54,76.33900456130505,53,76.02200768887997,True,False,0.09999999999999998,0.9,False,l,a,Ll,Aa,LLl,AAa,0,1,0,0,1,0,0,1,0,0,111,000,LLL,000,0.9999999985074619,0.10659305465524321,-0.8934069438522187,0.8,0.0,0.9,-0.9,0.9,0.0,Left Bias,1291,1285,1285,1286,1290,1300,True,1290,69.39,69.444,69.66,70.2,13.478905215546668,10.56505515493195,11.384750776566571,7.327763893175795,11.384750776566571,7.327763893175795,3.950342396949914,2.5932004367546004,WCL30,081423,green_l,DCZ,2023-02-28,,,167
56,78.14400382339954,55,77.87000611424446,True,False,0.09999999999999998,0.9,False,l,a,ll,aa,Lll,Aaa,0,0,0,0,1,0,0,1,0,0,011,000,LLL,000,0.21318610899229806,0.10659305465524321,-0.10659305433705485,0.6,0.0,0.9,-0.9,0.9,0.0,Left Bias,1324,1319,1319,1319,1324,1328,True,1324,71.226,71.226,71.496,71.712,5.188248753863847,2.8207520822439163,4.7937025315592905,2.379238290142769,4.7937025315592905,2.379238290142769,3.4872423961528867,2.0805597393299218,WCL30,081423,green_l,DCZ,2023-02-28,,,167
58,81.72200694680214,57,81.37700781226158,True,False,0.09999999999999998,0.9,False,l,a,ll,aa,lll,aaa,0,0,0,0,0,0,0,1,0,0,001,000,LLL,000,0.04544831713510933,0.10659305465524321,0.061144737520133885,0.4,0.0,0.9,-0.9,0.9,0.0,Left Bias,1390,1384,1384,1384,1390,1393,True,1390,74.736,74.736,75.06,75.222,-0.9077857626912659,-2.5277025965266375,-0.848722555938304,-2.5457663550026526,-0.848722555938304,-2.5457663550026526,-0.8335556098667953,-2.2291047333770897,WCL30,081423,green_l,DCZ,2023-02-28,,,167
60,83.68799909949303,59,83.31600353121758,False,True,0.09999999999999998,0.9,True,R,A,lR,aB,llR,aaB,1,0,0,0,0,0,0,0,0,0,000,000,LLL,000,0.009688949904743067,0.10659305465524321,0.09690410475050015,0.4,0.2,0.9,-0.7,0.7,0.2,Left Bias,1427,1420,1420,1421,1426,1460,True,1426,76.67999999999999,76.734,77.004,78.84,0.03760732077212964,-1.4250737843513017,-1.1638822249869587,-2.5474873773439457,-1.1638822249869587,-2.5474873773439457,-0.6490936735983592,-1.075404794561077,WCL30,081423,green_l,DCZ,2023-02-28,,,167
62,86.13400273025036,61,85.7779998332262,False,True,0.09999999999999998,0.9,False,r,a,Rr,Aa,lRr,aBb,0,1,1,1,0,0,0,0,0,0,100,100,RLL,100,0.009688949904743067,0.8095380492909849,0.7998490993862418,0.2,0.4,0.9,-0.5,0.5,0.2,Left Bias,1472,1465,1465,1467,1472,1479,True,1472,79.11,79.218,79.488,79.866,-0.08623649348049944,-0.7478902215145546,1.8767038243758936,0.08711815857758874,1.8767038243758936,0.08711815857758874,5.3398191831651785,3.006056219657263,WCL30,081423,green_l,DCZ,2023-02-28,,,167
64,87.61400878429413,63,87.23900578916073,False,True,0.09999999999999998,0.9,True,R,A,rR,aA,RrR,AaA,0,0,1,0,1,1,1,0,0,0,010,110,RRL,010,0.009688949904743067,0.17258226706714586,0.1628933171624028,0.4,0.6,0.9,-0.30000000000000004,0.30000000000000004,0.2,Exploration,1499,1492,1493,1494,1499,1543,True,1499,80.622,80.676,80.946,83.322,3.4465664019886066,-1.7590700347819208,-1.1463788896385119,-3.4598065457140836,-1.1463788896385119,-3.4598065457140836,1.0561118208735263,0.11825699986473295,WCL30,081423,green_l,DCZ,2023-02-28,,,167
69,92.19599962234497,68,91.86300002038479,False,True,0.09999999999999998,0.9,True,R,A,RR,AA,rRR,aAA,0,1,1,0,0,1,0,1,1,1,101,111,RRR,001,0.009688949904743067,0.8236060327415416,0.8139170828367985,0.6,0.8,0.9,-0.09999999999999998,0.09999999999999998,0.2,Exploration,1584,1578,1578,1579,1584,1633,True,1584,85.212,85.266,85.536,88.182,2.6601836298987234,-0.1975362258333686,0.15988894152616492,-1.8223336702242694,0.15988894152616492,-1.8223336702242694,3.892033467804168,1.6530662067280275,WCL30,081423,green_l,DCZ,2023-02-28,,,167
71,95.4560000449419,70,95.11100091040134,False,True,0.09999999999999998,0.9,True,R,A,RR,AA,RRR,AAA,0,1,1,0,1,1,0,0,1,0,110,111,RRR,000,0.009688949904743067,0.9623952564143279,0.9527063065095848,0.8,1.0,0.9,0.09999999999999998,0.09999999999999998,0.2,Exploration,1645,1638,1638,1640,1644,1683,True,1644,88.452,88.56,88.776,90.882,5.122141251270374,1.4201576789746075,3.3957226618671474,-0.14528257468597744,3.3957226618671474,-0.14528257468597744,4.079365106674442,2.8411885799282923,WCL30,081423,green_l,DCZ,2023-02-28,,,167
